"Name","Location","Type"
"OpenDirectory","External[ ? ]","External Function"
"CloseDirectory","External[ ? ]","External Function"
"ReadDirectory","External[ ? ]","External Function"
"CreateDirectory","External[ ? ]","External Function"
"CommitSaveData","External[ ? ]","External Function"
"QueryMountRomCacheSize","External[ ? ]","External Function"
"MountRom","External[ ? ]","External Function"
"Unmount","External[ ? ]","External Function"
"SetGraphicsAllocator","External[ ? ]","External Function"
"InitializeGraphics","External[ ? ]","External Function"
"StandardAllocator","External[ ? ]","External Function"
"SetGraphicsDevtoolsAllocator","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"OpenDefaultDisplay","External[ ? ]","External Function"
"CreateLayer","External[ ? ]","External Function"
"SetLayerScalingMode","External[ ? ]","External Function"
"GetDisplayVsyncEvent","External[ ? ]","External Function"
"nvnBootstrapLoader","External[ ? ]","External Function"
"GetNativeWindow","External[ ? ]","External Function"
"WaitSystemEvent","External[ ? ]","External Function"
"logf","External[ ? ]","External Function"
"ConvertToTick","External[ ? ]","External Function"
"GetDesiredLanguage","External[ ? ]","External Function"
"operator==","External[ ? ]","External Function"
"tolower","External[ ? ]","External Function"
"sscanf","External[ ? ]","External Function"
"TryLockMutex","External[ ? ]","External Function"
"InitializeMessageQueue","External[ ? ]","External Function"
"FinalizeMessageQueue","External[ ? ]","External Function"
"SendMessageQueue","External[ ? ]","External Function"
"TrySendMessageQueue","External[ ? ]","External Function"
"ReceiveMessageQueue","External[ ? ]","External Function"
"TryReceiveMessageQueue","External[ ? ]","External Function"
"TryPeekMessageQueue","External[ ? ]","External Function"
"JamMessageQueue","External[ ? ]","External Function"
"CreateThread","External[ ? ]","External Function"
"SetThreadName","External[ ? ]","External Function"
"GetThreadPriority","External[ ? ]","External Function"
"GetCurrentStackInfo","External[ ? ]","External Function"
"DestroyThread","External[ ? ]","External Function"
"SleepThread","External[ ? ]","External Function"
"ConvertToTimeSpan","External[ ? ]","External Function"
"YieldThread","External[ ? ]","External Function"
"StartThread","External[ ? ]","External Function"
"GetThreadId","External[ ? ]","External Function"
"WaitThread","External[ ? ]","External Function"
"SetTlsValue","External[ ? ]","External Function"
"ChangeThreadPriority","External[ ? ]","External Function"
"GetThreadAvailableCoreMask","External[ ? ]","External Function"
"SetThreadCoreMask","External[ ? ]","External Function"
"GetCurrentThread","External[ ? ]","External Function"
